B1,B2,B3,B4,B5,B6,B7,Y
-0.091048202,-0.020719738,0.041778976,-0.062108032,-0.276561434,-0.176863181,0.030308133,1
-0.057383321,0.033805889,0.117250674,0.020028323,-0.231904732,-0.169977223,0.032665432,1
0.006885998,0.009814613,-0.088948787,-0.27493425,-0.481982261,-0.368186874,-0.027782455,1
-0.072685539,-0.081788441,-0.14083558,-0.240946793,-0.374309992,-0.295831347,-0.143795252,1
-0.115531752,-0.124681934,-0.198787062,-0.301234068,-0.479377287,-0.348800254,-0.121064152,1
-0.075745983,0.006179571,0.07884097,-0.039854339,-0.26775414,-0.188516341,0.033002189,1
-0.094108646,-0.019265722,0.045822102,-0.050778879,-0.261427774,-0.196037926,0.003199192,1
-0.088752869,-0.098509633,-0.138140162,-0.240137568,-0.388699374,-0.313205149,-0.1269574,1
-0.126243305,-0.086150491,-0.021563342,-0.107020028,-0.296408857,-0.238307114,-0.05438626,1
-0.107115532,-0.124681934,-0.132075472,-0.244588307,-0.179681201,-0.224217384,-0.195487456,1
-0.044376435,0.007633588,-0.004043127,-0.155978151,-0.392792905,-0.311933895,-0.05101869,1
-0.033664881,0.009814613,-0.067385445,-0.234472992,-0.463747442,-0.380899412,-0.072066004,1
-0.094873757,-0.114503817,-0.158355795,-0.252680558,-0.436953421,-0.329837385,-0.144468766,1
-0.122417751,-0.123954925,-0.181266846,-0.28424034,-0.476772313,-0.352084327,-0.121400909,1
-0.059678653,-0.05561614,-0.122641509,-0.213028525,-0.365006512,-0.211292971,-0.044957063,1
-0.14613619,-0.145765176,-0.18328841,-0.268865062,-0.235253985,-0.203029821,-0.126283886,1
-0.16296863,-0.176299527,-0.209568733,-0.27493425,-0.372201203,-0.28163568,-0.12476848,1
-0.104055088,-0.050527081,0.013477089,-0.076674085,-0.283632078,-0.234493352,-0.042599764,1
-0.133129304,-0.051254089,0.035040431,-0.053611167,-0.277801898,-0.25546904,-0.072066004,1
-0.054322877,-0.051981098,-0.111859838,-0.227594578,-0.401600198,-0.298691668,-0.065667621,1
-0.091813313,0.002544529,0.088948787,-0.003034594,-0.242820815,-0.187668838,0.011954875,1
-0.104055088,-0.030897855,0.041105121,-0.063321869,-0.274948831,-0.197838869,0.023572992,1
-0.063504208,-0.051254089,-0.106469003,-0.197248634,-0.333746821,-0.253774035,-0.130324971,1
-0.077276205,-0.067975282,-0.143530997,-0.23568683,-0.408298704,-0.312887335,-0.141943088,1
-0.083397093,-0.091239549,-0.134770889,-0.227189966,-0.37368976,-0.316807034,-0.161980131,1
-0.08110176,-0.070883315,-0.115229111,-0.217883876,-0.411896049,-0.319985169,-0.123758208,1
-0.093343535,-0.081061432,-0.142857143,-0.240137568,-0.438069838,-0.322527676,-0.100016838,1
-0.078806427,-0.063613232,-0.123315364,-0.241351406,-0.436953421,-0.313311086,-0.074086547,1
-0.074215761,0.016357688,0.130053908,0.045518916,-0.200645041,-0.162667514,0.014648931,1
-0.084162204,-0.081788441,-0.126010782,-0.220716164,-0.384109657,-0.277398167,-0.083347365,1
-0.03289977,-0.050527081,-0.092318059,-0.20129476,-0.344166718,-0.246146512,-0.102205759,1
-0.059678653,-0.020719738,-0.07884097,-0.231236091,-0.445512622,-0.364584989,-0.072234383,1
-0.08951798,-0.048346056,-0.051212938,-0.16204734,-0.379768033,-0.31458234,-0.07711736,1
-0.135424637,-0.067975282,0.003369272,-0.073032571,-0.281399243,-0.217119551,-0.018353258,1
-0.12165264,-0.063613232,-0.01212938,-0.105401578,-0.301742852,-0.232374596,-0.007071898,1
-0.045141546,-0.057070156,-0.114555256,-0.209387012,-0.398623085,-0.278563483,-0.067351406,1
-0.119357307,-0.030897855,0.025606469,-0.084766336,-0.301866898,-0.21764924,0.033170567,1
-0.060443764,-0.056343148,-0.081536388,-0.178231843,-0.317868883,-0.220509561,-0.071729247,1
-0.10558531,-0.056343148,-0.020889488,-0.133319846,-0.330397569,-0.275067535,-0.025425156,1
-0.166029074,-0.115957834,-0.080188679,-0.184301032,-0.355703033,-0.300492611,-0.095302239,1
-0.136954858,-0.078153399,-0.049191375,-0.168116528,-0.361409167,-0.286296944,-0.045462199,1
-0.062739097,-0.07306434,-0.107816712,-0.18713332,-0.269242697,-0.232480534,-0.125947129,1
-0.071920428,-0.025808797,-0.000673854,-0.108233866,-0.301494759,-0.203877324,0.048324634,1
-0.059678653,-0.009814613,0.012803235,-0.098927777,-0.300130249,-0.226336141,0.000841893,1
-0.054322877,0.01999273,0.117250674,0.004248432,-0.227315016,-0.17304942,0.007577033,1
-0.052027544,-0.076699382,-0.109838275,-0.194011734,-0.292811512,-0.252714656,-0.122916316,1
-0.087222647,-0.095601599,-0.128706199,-0.211814687,-0.332134218,-0.267757826,-0.124600101,1
-0.084927314,-0.084696474,-0.142183288,-0.234877605,-0.398374992,-0.286508819,-0.092439805,1
-0.074980872,-0.075245365,-0.123989218,-0.232045317,-0.433852261,-0.299751046,-0.080316552,1
-0.071920428,-0.041075972,-0.077493261,-0.194011734,-0.394405508,-0.270512209,-0.055901667,1
-0.061973986,-0.046892039,-0.095687332,-0.202103985,-0.398126899,-0.290004767,-0.061963293,1
-0.078806427,-0.067248273,-0.093665768,-0.185110257,-0.221360789,-0.233010223,-0.14514228,1
-0.041315991,-0.049073064,-0.105795148,-0.192393283,-0.375674502,-0.253562159,-0.087220071,1
-0.087222647,-0.091239549,-0.140161725,-0.241351406,-0.246046021,-0.221674877,-0.148678229,1
-0.095638868,-0.1043257,-0.144878706,-0.243779082,-0.312658934,-0.213835479,-0.080821687,1
-0.084162204,-0.091239549,-0.163072776,-0.255108234,-0.430627055,-0.291487897,-0.090419263,1
-0.029839327,-0.045438023,-0.097708895,-0.2122193,-0.421695714,-0.294560093,-0.08839872,1
-0.058913542,-0.057070156,-0.115229111,-0.200485535,-0.397134528,-0.264367816,-0.092103048,1
-0.067329763,-0.065794257,-0.107816712,-0.187942545,-0.369720275,-0.265427194,-0.073244654,1
-0.096403979,-0.097782625,-0.138140162,-0.194416346,-0.333250636,-0.231633031,-0.101027109,1
-0.022188217,-0.057797165,-0.134770889,-0.217479264,-0.336723935,-0.243709942,-0.112476848,1
-0.091813313,-0.110868775,-0.182614555,-0.283835727,-0.328412826,-0.30536575,-0.168210136,1
-0.104820199,-0.112322792,-0.153638814,-0.23406838,-0.28462445,-0.226336141,-0.122747937,1
-0.100994644,-0.118138859,-0.179245283,-0.258345135,-0.399367363,-0.292865088,-0.106415221,1
-0.060443764,-0.065067248,-0.136792453,-0.248634433,-0.451094709,-0.333545209,-0.126115508,1
-0.100229533,-0.089058524,-0.125336927,-0.204936274,-0.367115301,-0.237459611,-0.093786833,1
-0.135424637,-0.134860051,-0.188005391,-0.235282217,-0.347764064,-0.24042587,-0.122916316,1
-0.025248661,-0.048346056,-0.102425876,-0.178231843,-0.298517646,-0.245404947,-0.123253073,1
-0.058148432,-0.085423482,-0.135444744,-0.233259154,-0.429386591,-0.294454155,-0.095638996,1
-0.009946442,-0.022900763,-0.115229111,-0.203317823,-0.353842337,-0.27824567,-0.138743896,1
0.00841622,-0.021446747,-0.117250674,-0.23730528,-0.388203188,-0.279093172,-0.137902004,1
-0.033664881,-0.053435115,-0.150269542,-0.264818936,-0.439434348,-0.352931829,-0.152045799,1
-0.092578424,-0.109414758,-0.173180593,-0.263200486,-0.359052286,-0.303776683,-0.158612561,1
-0.100229533,-0.119592875,-0.153638814,-0.233259154,-0.406686101,-0.276444727,-0.095807375,1
-0.081866871,-0.081788441,-0.163072776,-0.268055837,-0.454940148,-0.283012871,-0.048156255,1
-0.112471308,-0.105779716,-0.136118598,-0.210196237,-0.343546486,-0.236612109,-0.067351406,1
-0.075745983,-0.110868775,-0.163746631,-0.221120777,-0.373565714,-0.266274697,-0.07593871,1
-0.113236419,-0.158124318,-0.203504043,-0.277361926,-0.399615456,-0.302505429,-0.115170904,1
-0.025248661,-0.02871683,-0.089622642,-0.198867085,-0.308813496,-0.238307114,-0.125273615,1
-0.002295333,-0.026535805,-0.115229111,-0.238114505,-0.437573653,-0.313311086,-0.125105237,1
0.013006886,-0.009087605,-0.093665768,-0.202913211,-0.375550456,-0.27676254,-0.09294494,1
-0.055853099,-0.06434024,-0.134097035,-0.232449929,-0.427649941,-0.260977806,-0.011112982,1
-0.115531752,-0.094874591,-0.148921833,-0.2122193,-0.353594244,-0.195614174,-0.034854353,1
-0.13006886,-0.145038168,-0.220350404,-0.275743476,-0.445388575,-0.324222681,-0.135039569,1
-0.10558531,-0.114503817,-0.179919137,-0.241756019,-0.392172673,-0.27919911,-0.109109278,1
-0.074215761,-0.088331516,-0.165768194,-0.255108234,-0.39775476,-0.277927856,-0.119717124,1
-0.156082632,-0.132679026,-0.185983827,-0.225571515,-0.352601873,-0.21330579,-0.082168715,1
-0.380260138,-0.392221011,-0.470350404,-0.51284645,-0.575141103,-0.527729223,-0.356120559,1
-0.368783474,-0.335514358,-0.316037736,-0.311349383,-0.378651616,-0.249854336,-0.09412359,1
-0.412394797,-0.42348237,-0.503369272,-0.509204936,-0.561620046,-0.468933736,-0.283886176,1
-0.418515685,-0.398764086,-0.446765499,-0.460651426,-0.509644607,-0.394777266,-0.250210473,1
-0.378729916,-0.396583061,-0.431940701,-0.450536112,-0.51745953,-0.390857567,-0.203569625,1
-0.353481255,-0.304980007,-0.270215633,-0.290714141,-0.353966383,-0.16383283,-0.018353258,1
-0.427697016,-0.413304253,-0.458894879,-0.47845438,-0.507783911,-0.419990466,-0.248021552,1
-0.400153022,-0.403853144,-0.421832884,-0.4566053,-0.438938163,-0.408549182,-0.286411854,1
-0.419280796,-0.428571429,-0.460916442,-0.481691281,-0.469453576,-0.408443244,-0.288095639,1
-0.392501913,-0.385677935,-0.426549865,-0.441634635,-0.481486076,-0.382488479,-0.170230679,1
-0.416985463,-0.436568521,-0.503369272,-0.529435565,-0.569310922,-0.466497166,-0.293820509,1
-0.366488141,-0.389312977,-0.435309973,-0.450536112,-0.519568319,-0.394035701,-0.1904361,1
-0.43917368,-0.442384587,-0.501347709,-0.520129476,-0.567202134,-0.502621961,-0.335746759,1
-0.421576129,-0.415485278,-0.473045822,-0.486546632,-0.539663834,-0.487896605,-0.334568109,1
-0.442999235,-0.436568521,-0.506738544,-0.5144649,-0.540408113,-0.430584247,-0.241791547,1
-0.423871461,-0.416939295,-0.466981132,-0.467125228,-0.493146437,-0.329731448,-0.141101195,1
-0.396327467,-0.411850236,-0.464285714,-0.490188145,-0.547354711,-0.494040998,-0.338440815,1
-0.42310635,-0.440203562,-0.50606469,-0.515678738,-0.521801154,-0.396472271,-0.219733962,1
-0.425401683,-0.435841512,-0.489218329,-0.506777261,-0.55529368,-0.49149849,-0.338609193,1
-0.429992349,-0.448200654,-0.507412399,-0.521747926,-0.544005458,-0.44011865,-0.265196161,1
-0.399387911,-0.432933479,-0.537735849,-0.56139996,-0.610866464,-0.574765613,-0.412358983,1
-0.440703902,-0.450381679,-0.564690027,-0.573133724,-0.599082057,-0.531966736,-0.39114329,1
-0.461361897,-0.474372955,-0.608490566,-0.611167307,-0.663089996,-0.5831347,-0.395857889,1
-0.447589901,-0.458378771,-0.562668464,-0.569896824,-0.581715562,-0.523597648,-0.349890554,1
-0.475133894,-0.500545256,-0.638814016,-0.626137973,-0.622774918,-0.580592192,-0.455969018,1
-0.418515685,-0.416212286,-0.489218329,-0.502731135,-0.472802828,-0.425711108,-0.334062974,1
-0.411629686,-0.416939295,-0.428571429,-0.462674489,-0.361533213,-0.352614016,-0.299208621,1
-0.449120122,-0.451835696,-0.499326146,-0.52862634,-0.409415121,-0.440330526,-0.3628557,1
-0.412394797,-0.434387495,-0.53032345,-0.535909367,-0.506667494,-0.475713756,-0.367907055,1
-0.417750574,-0.425663395,-0.544474394,-0.557353834,-0.58245984,-0.515864188,-0.337093787,1
-0.434583015,-0.452562704,-0.576819407,-0.579202913,-0.594616387,-0.536416124,-0.379188416,1
-0.441469013,-0.444565613,-0.566037736,-0.571919887,-0.592383551,-0.531860798,-0.379525173,1
-0.423871461,-0.448200654,-0.528975741,-0.559781509,-0.543137133,-0.491816304,-0.351237582,1
-0.468247896,-0.468556888,-0.504716981,-0.522152539,-0.354338523,-0.358440595,-0.338272436,1
-0.478194338,-0.509996365,-0.510781671,-0.580012138,-0.241704397,-0.351554637,-0.376831116,1
-0.476664116,-0.484551072,-0.559973046,-0.578393688,-0.475903988,-0.503787277,-0.417410338,1
-0.438408569,-0.430752454,-0.531671159,-0.527817115,-0.503442287,-0.454314317,-0.369085705,1
-0.397857689,-0.411123228,-0.51819407,-0.535909367,-0.553060845,-0.49732507,-0.363865971,1
-0.449120122,-0.440203562,-0.553234501,-0.540360105,-0.482230354,-0.473700938,-0.397541674,1
-0.429227238,-0.451835696,-0.469002695,-0.50192191,-0.392544812,-0.350283384,-0.269068867,1
-0.405508799,-0.416212286,-0.541105121,-0.548047744,-0.604912237,-0.536204248,-0.377673009,1
-0.458301454,-0.464194838,-0.489218329,-0.522152539,-0.393785276,-0.326765189,-0.301397542,1
-0.491966335,-0.515812432,-0.533018868,-0.578798301,-0.266017491,-0.342549923,-0.386260313,1
-0.477429227,-0.467102872,-0.437331536,-0.514869512,-0.225330274,-0.283224747,-0.318403772,1
-0.364957919,-0.376226827,-0.472371968,-0.502731135,-0.53122868,-0.505164468,-0.334736488,1
-0.378729916,-0.387131952,-0.47574124,-0.491401983,-0.524654221,-0.492451931,-0.304596733,1
-0.376434583,-0.398037077,-0.496630728,-0.514869512,-0.563480742,-0.499443826,-0.350732447,1
-0.433052793,-0.448200654,-0.45754717,-0.48937892,-0.321094089,-0.296996663,-0.260986698,1
-0.464422341,-0.472918939,-0.494609164,-0.517297188,-0.357811822,-0.311298268,-0.274962115,1
-0.456006121,-0.454016721,-0.497304582,-0.521343314,-0.424548781,-0.386408178,-0.301734299,1
-0.384850803,-0.392221011,-0.482479784,-0.510418774,-0.527259195,-0.482599714,-0.351405961,1
-0.408569243,-0.424209378,-0.50606469,-0.52700789,-0.506295354,-0.459081519,-0.294325644,1
-0.335883703,-0.355143584,-0.48180593,-0.508800324,-0.590522856,-0.526987658,-0.276477521,1
-0.377964805,-0.37477281,-0.462938005,-0.48007283,-0.538051231,-0.485565973,-0.323960263,1
-0.375669472,-0.390039985,-0.469002695,-0.478049767,-0.504434659,-0.451030245,-0.331200539,1
-0.420811018,-0.427117412,-0.492587601,-0.499089622,-0.452955405,-0.406854177,-0.323960263,1
-0.425401683,-0.461286805,-0.522237197,-0.531054016,-0.482974633,-0.436093013,-0.330190268,1
-0.413159908,-0.440930571,-0.562668464,-0.551689258,-0.594988526,-0.521372954,-0.340629736,1
-0.413925019,-0.430025445,-0.53638814,-0.543597006,-0.557898654,-0.439800837,-0.296514565,1
-0.361897475,-0.374045802,-0.478436658,-0.500708072,-0.554673448,-0.493723184,-0.316214851,1
-0.197398623,-0.341330425,-0.402291105,-0.423022456,-0.47826087,-0.42221516,-0.275804007,1
-0.355011477,-0.353689567,-0.46361186,-0.484928181,-0.533337468,-0.490333174,-0.336420273,1
-0.254016832,-0.346419484,-0.459568733,-0.480477443,-0.557030329,-0.508448541,-0.328338104,1
-0.241775057,-0.326790258,-0.39083558,-0.416144042,-0.52328971,-0.457068701,-0.267890217,1
-0.416220352,-0.433660487,-0.499326146,-0.493020433,-0.461886746,-0.401027597,-0.26873211,1
-0.335118592,-0.365321701,-0.425202156,-0.447299211,-0.474291385,-0.438317708,-0.312678902,1
-0.417750574,-0.408215194,-0.471024259,-0.467934453,-0.480865844,-0.415647015,-0.286243475,1
-0.42310635,-0.439476554,-0.513477089,-0.502326522,-0.502201823,-0.396578209,-0.248358309,1
-0.362662586,-0.371137768,-0.479110512,-0.499898847,-0.586801464,-0.501668521,-0.329516754,1
-0.433052793,-0.422028353,-0.499326146,-0.493020433,-0.545742108,-0.467450606,-0.308974575,1
-0.317521041,-0.337695383,-0.410377358,-0.44244386,-0.575761335,-0.467450606,-0.27782455,1
-0.336648814,-0.337695383,-0.428571429,-0.44082541,-0.563108603,-0.482387838,-0.286748611,1
-0.175975516,-0.36604871,-0.467654987,-0.471980579,-0.569310922,-0.515440436,-0.327327833,1
-0.335883703,-0.342784442,-0.409703504,-0.427068582,-0.522049246,-0.465649664,-0.291463209,1
-0.396327467,-0.352235551,-0.382075472,-0.37204127,-0.462010792,-0.395730706,-0.23808722,1
-0.413159908,-0.393675027,-0.417115903,-0.401577989,-0.455312287,-0.410562,-0.270415895,1
-0.397857689,-0.453289713,-0.590296496,-0.626137973,-0.492526205,-0.540547699,-0.496043105,1
-0.322876817,-0.359505634,-0.471698113,-0.55209387,-0.360292749,-0.474654378,-0.48072066,1
-0.240244836,-0.230098146,-0.305929919,-0.363139794,-0.40842275,-0.411197627,-0.30611214,1
-0.351951033,-0.378407852,-0.495283019,-0.557353834,-0.351113316,-0.446157106,-0.457652804,1
-0.338944147,-0.390039985,-0.557277628,-0.606311956,-0.514234324,-0.5327083,-0.495537969,1
-0.269319051,-0.279534715,-0.392857143,-0.418571718,-0.439434348,-0.456221198,-0.366560027,1
-0.317521041,-0.38785896,-0.529649596,-0.585272102,-0.383241332,-0.42412204,-0.41724196,1
-0.34123948,-0.344965467,-0.473045822,-0.516892575,-0.445636668,-0.484930346,-0.412022226,1
-0.370313695,-0.438749546,-0.621967655,-0.651628566,-0.475531849,-0.533873616,-0.527024752,1
-0.350420811,-0.380588877,-0.533692722,-0.571110662,-0.478633009,-0.501986334,-0.432396026,1
-0.360367253,-0.41039622,-0.541778976,-0.602670443,-0.456428704,-0.430796123,-0.4036033,1
-0.402448355,-0.461286805,-0.636792453,-0.669026907,-0.495503318,-0.540229885,-0.493349049,1
-0.087987758,-0.145765176,-0.335579515,-0.477645155,-0.474663524,-0.517665131,-0.394679239,1
-0.021423106,-0.061432206,-0.262803235,-0.427068582,-0.559511257,-0.562053075,-0.403434922,1
-0.002295333,-0.045438023,-0.22574124,-0.395104188,-0.574520871,-0.548069283,-0.358982994,1
-0.058913542,-0.094147583,-0.261455526,-0.418571718,-0.591267134,-0.557603687,-0.349722175,1
-0.12165264,-0.160305344,-0.305929919,-0.458223751,-0.589282392,-0.541289263,-0.342145142,1
-0.13006886,-0.167575427,-0.334231806,-0.459842201,-0.452707313,-0.432703003,-0.216198013,1
-0.088752869,-0.140676118,-0.307951482,-0.437588509,-0.489921231,-0.441283966,-0.298871864,1
-0.086457536,-0.115957834,-0.296495957,-0.441230022,-0.562984556,-0.539064569,-0.346186227,1
-0.00841622,-0.047619048,-0.212264151,-0.378919684,-0.503814427,-0.510673235,-0.355615423,1
-0.019892884,-0.035259905,-0.188679245,-0.364353631,-0.478881102,-0.490015361,-0.291631588,1
0.031369549,-0.010541621,-0.176549865,-0.363949019,-0.465484091,-0.480586895,-0.351405961,1
-0.010711553,-0.035259905,-0.181940701,-0.357070605,-0.533337468,-0.501880396,-0.306954033,1
0.026013772,-0.017811705,-0.204851752,-0.384988873,-0.510512932,-0.507601038,-0.354941909,1
-0.003825555,-0.027989822,-0.1893531,-0.382156585,-0.55529368,-0.506011971,-0.291294831,1
-0.037490436,-0.081788441,-0.270215633,-0.430710095,-0.569310922,-0.522326394,-0.323455127,1
-0.099464422,-0.158851327,-0.34703504,-0.493020433,-0.607889351,-0.526140156,-0.319919178,1
-0.044376435,-0.087604507,-0.238544474,-0.420190168,-0.570303293,-0.51480481,-0.297861593,1
0.009181331,-0.029443839,-0.228436658,-0.412502529,-0.563356695,-0.520843265,-0.308469439,1
0.083397093,0.031624864,-0.156334232,-0.369208982,-0.548967314,-0.523597648,-0.312342145,1
0.100994644,0.073791349,-0.099056604,-0.313777058,-0.528499659,-0.501350707,-0.268900488,1
0.053557766,0.03307888,-0.138140162,-0.330366174,-0.527011102,-0.50315165,-0.275298872,1
-0.006120888,-0.022900763,-0.169811321,-0.364758244,-0.522793525,-0.495630065,-0.292305102,1
-0.058148432,-0.086877499,-0.260107817,-0.391867287,-0.534453886,-0.524551089,-0.35258461,1
-0.052792655,-0.090512541,-0.269541779,-0.42828242,-0.551820381,-0.529530166,-0.337093787,1
0.041315991,-0.017084696,-0.192722372,-0.40805179,-0.574272778,-0.540018009,-0.332547567,1
-0.009946442,-0.027262814,-0.219002695,-0.418571718,-0.557402469,-0.546903967,-0.372453275,1
0.054322877,0.039621956,-0.137466307,-0.337244588,-0.527879427,-0.527305472,-0.318740529,1
0.08110176,0.047619048,-0.124663073,-0.34533684,-0.54909136,-0.53419143,-0.32429702,1
-0.005355777,-0.035986914,-0.212264151,-0.391867287,-0.575513242,-0.521478892,-0.303418084,1
-0.03289977,-0.081061432,-0.221698113,-0.391058062,-0.558642932,-0.508554479,-0.301229163,1
-0.049732211,-0.080334424,-0.248652291,-0.397531863,-0.542144762,-0.523279835,-0.346859741,1
-0.042081102,-0.049073064,-0.141509434,-0.295974105,-0.463747442,-0.469039674,-0.335410002,1
-0.153787299,-0.119592875,-0.138140162,-0.180659519,-0.318116976,-0.345516182,-0.212156929,1
-0.093343535,-0.062886223,-0.15902965,-0.211005462,-0.426285431,-0.348800254,-0.123758208,1
-0.001530222,0.042529989,-0.041105121,-0.151527413,-0.410903678,-0.295831347,-0.015154066,1
0.034429992,0.061432206,0.002021563,-0.125632207,-0.41462507,-0.263944065,0.061121401,1
0.018362663,0.058524173,-0.062668464,-0.171758042,-0.442783601,-0.329413634,-0.041084358,1
